LANGUAGE,AGE
language_1,"[1, 0]"
language_3,"[1, 0]"
language_4,"[0, 0]"
language_5,"[1, 0]"
language_6,"[1, 0]"
language_7,"[1, 1]"
language_8,"[1, 0]"
language_9,"[1, 0]"
language_10,"[1, 0]"
language_12,"[1, 0]"
language_13,"[0, 0]"
language_14,"[1, 0]"
language_15,"[1, 0]"
language_16,"[0, 0]"
language_17,"[1, 0]"
language_18,"[0, 1]"
language_19,"[0, 0]"
language_20,"[0, 0]"
language_22,"[0, 1]"
language_23,"[0, 0]"
language_24,"[1, 0]"
language_25,"[1, 0]"
language_26,"[1, 0]"
language_28,"[0, 0]"
language_29,"[1, 0]"
language_30,"[0, 0]"
language_31,"[0, 0]"
language_32,"[1, 0]"
language_33,"[1, 0]"
language_34,"[1, 0]"
language_36,"[1, 0]"
language_37,"[1, 0]"
language_38,"[1, 0]"
language_39,"[0, 0]"
language_40,"[1, 0]"
language_41,"[1, 0]"
language_42,"[1, 1]"
language_43,"[0, 0]"
language_48,"[1, 0]"
language_51,"[1, 0]"
language_52,"[1, 0]"
language_53,"[1, 1]"
language_54,"[1, 0]"
language_55,"[1, 0]"
language_56,"[1, 1]"
language_57,"[1, 0]"
language_59,"[0, 1]"
language_61,"[1, 1]"
language_62,"[1, 0]"
language_63,"[0, 0]"
language_64,"[1, 0]"
language_65,"[1, 0]"
language_66,"[1, 0]"
language_67,"[1, 0]"
language_68,"[1, 0]"
language_69,"[1, 0]"
language_70,"[0, 0]"
language_71,"[1, 1]"
language_72,"[0, 0]"
language_73,"[0, 0]"
language_74,"[1, 0]"
language_75,"[1, 0]"
language_76,"[1, 0]"
language_77,"[1, 0]"
language_78,"[1, 1]"
language_79,"[0, 0]"
language_80,"[0, 0]"
language_81,"[1, 0]"
language_82,"[1, 0]"
language_83,"[1, 0]"
language_84,"[1, 0]"
language_85,"[1, 0]"
language_86,"[0, 0]"
language_89,"[0, 0]"
language_90,"[1, 0]"
language_92,"[0, 0]"
language_93,"[0, 0]"
language_94,"[0, 0]"
language_96,"[0, 0]"
language_97,"[1, 0]"
language_98,"[1, 0]"
language_99,"[1, 0]"
language_100,"[1, 0]"
language_101,"[1, 0]"
language_102,"[1, 0]"
language_104,"[0, 0]"
language_106,"[1, 0]"
language_107,"[1, 0]"
language_108,"[1, 0]"
language_109,"[1, 0]"
language_110,"[1, 0]"
language_111,"[1, 0]"
language_112,"[1, 1]"
language_113,"[1, 0]"
language_114,"[1, 1]"
language_116,"[0, 0]"
language_117,"[1, 0]"
language_119,"[0, 0]"
language_120,"[0, 1]"
language_121,"[1, 0]"
language_122,"[1, 0]"
language_124,"[0, 0]"
language_125,"[0, 0]"
language_126,"[1, 0]"
language_127,"[1, 0]"
language_128,"[0, 0]"
language_130,"[1, 0]"
language_131,"[1, 0]"
language_132,"[1, 0]"
language_133,"[1, 0]"
language_134,"[0, 0]"
language_135,"[1, 0]"
language_137,"[1, 0]"
language_138,"[0, 0]"
language_140,"[1, 0]"
language_141,"[0, 0]"
language_142,"[1, 1]"
language_143,"[1, 0]"
language_144,"[0, 0]"
language_145,"[1, 1]"
language_146,"[1, 1]"
language_147,"[0, 0]"
language_148,"[0, 0]"
language_149,"[1, 0]"
language_150,"[0, 0]"
language_151,"[0, 0]"
language_157,"[1, 0]"
language_158,"[0, 0]"
language_159,"[1, 0]"
language_161,"[1, 0]"
language_163,"[0, 0]"
language_166,"[1, 0]"
language_167,"[1, 0]"
language_168,"[1, 0]"
language_169,"[1, 1]"
language_171,"[1, 0]"
language_172,"[1, 0]"
language_174,"[1, 0]"
language_175,"[1, 0]"
language_176,"[1, 1]"
language_177,"[0, 0]"
language_178,"[1, 1]"
language_179,"[0, 0]"
language_182,"[1, 0]"
language_183,"[0, 0]"
language_184,"[0, 0]"
language_185,"[1, 0]"
language_186,"[1, 0]"
language_188,"[1, 0]"
language_189,"[1, 0]"
language_190,"[1, 0]"
language_191,"[1, 0]"
language_192,"[0, 0]"
language_196,"[0, 1]"
language_197,"[0, 0]"
language_198,"[1, 0]"
language_200,"[1, 0]"
language_201,"[0, 0]"
language_202,"[0, 0]"
language_203,"[1, 0]"
language_204,"[0, 0]"
language_205,"[0, 0]"
language_206,"[0, 0]"
language_208,"[1, 0]"
language_210,"[1, 0]"
language_211,"[0, 1]"
language_212,"[0, 0]"
language_213,"[1, 0]"
language_214,"[1, 0]"
language_216,"[1, 0]"
language_218,"[1, 0]"
language_219,"[0, 0]"
language_220,"[1, 0]"
language_221,"[0, 0]"
language_222,"[0, 0]"
language_224,"[1, 1]"
language_225,"[1, 0]"
language_227,"[0, 0]"
language_228,"[1, 0]"
language_230,"[1, 0]"
language_232,"[1, 0]"
language_233,"[1, 0]"
language_234,"[1, 0]"
language_235,"[0, 0]"
language_236,"[0, 0]"
language_240,"[1, 0]"
language_241,"[0, 0]"
language_242,"[0, 0]"
language_243,"[1, 0]"
language_244,"[0, 0]"
language_245,"[1, 0]"
language_246,"[1, 0]"
language_247,"[1, 0]"
language_249,"[1, 1]"
language_250,"[1, 0]"
language_251,"[0, 0]"
language_253,"[1, 0]"
language_254,"[1, 1]"
language_255,"[1, 0]"
language_256,"[0, 0]"
language_257,"[1, 0]"
language_258,"[0, 1]"
language_259,"[1, 0]"
language_260,"[0, 0]"
language_261,"[1, 0]"
language_262,"[1, 0]"
language_264,"[1, 0]"
language_265,"[1, 0]"
language_266,"[1, 0]"
language_267,"[0, 0]"
language_268,"[0, 1]"
language_270,"[0, 0]"
language_271,"[1, 0]"
language_272,"[0, 0]"
language_273,"[1, 0]"
language_274,"[0, 1]"
language_275,"[0, 0]"
language_276,"[0, 0]"
language_277,"[1, 0]"
language_278,"[1, 0]"
language_279,"[0, 0]"
language_280,"[1, 0]"
language_281,"[1, 0]"
language_282,"[1, 0]"
language_283,"[0, 0]"
language_284,"[0, 0]"
language_285,"[1, 0]"
language_286,"[1, 0]"
language_289,"[0, 0]"
language_290,"[1, 0]"
language_291,"[1, 0]"
language_292,"[0, 0]"
language_293,"[1, 0]"
language_294,"[1, 0]"
language_296,"[0, 0]"
language_297,"[0, 0]"
language_298,"[1, 0]"
language_299,"[1, 0]"
language_300,"[0, 1]"
language_301,"[1, 1]"
language_302,"[0, 0]"
language_303,"[1, 0]"
language_304,"[1, 0]"
language_305,"[0, 1]"
language_308,"[1, 0]"
language_309,"[0, 0]"
language_311,"[1, 0]"
language_312,"[1, 0]"
language_313,"[0, 0]"
language_314,"[1, 1]"
language_315,"[1, 0]"
language_316,"[1, 0]"
language_317,"[1, 1]"
language_318,"[1, 0]"
language_319,"[0, 0]"
language_320,"[1, 0]"
language_321,"[0, 0]"
language_322,"[1, 0]"
language_323,"[1, 0]"
language_325,"[1, 0]"
language_329,"[1, 0]"
language_330,"[1, 0]"
