LANGUAGE,LINEAGE,SET
language_1,"[0, 0]",117
language_4,"[0, 1]",117
language_5,"[0, 0]",117
language_7,"[0, 0]",117
language_13,"[0, 1]",117
language_16,"[0, 0]",117
language_17,"[0, 1]",117
language_19,"[0, 1]",117
language_20,"[0, 0]",117
language_21,"[0, 1]",117
language_22,"[1, 1]",117
language_24,"[0, 1]",117
language_25,"[1, 1]",117
language_26,"[0, 1]",117
language_29,"[0, 1]",117
language_30,"[0, 1]",117
language_31,"[1, 1]",117
language_33,"[1, 1]",117
language_34,"[0, 1]",117
language_35,"[0, 0]",117
language_36,"[0, 1]",117
language_37,"[0, 1]",117
language_39,"[0, 1]",117
language_41,"[1, 1]",117
language_42,"[1, 0]",117
language_43,"[0, 1]",117
language_44,"[1, 1]",117
language_45,"[0, 0]",117
language_46,"[0, 1]",117
language_50,"[1, 1]",117
language_52,"[0, 1]",117
language_53,"[0, 0]",117
language_54,"[0, 1]",117
language_56,"[0, 1]",117
language_57,"[0, 1]",117
language_58,"[0, 1]",117
language_59,"[0, 1]",117
language_60,"[0, 1]",117
language_61,"[0, 0]",117
language_63,"[0, 0]",117
language_64,"[1, 0]",117
language_65,"[0, 1]",117
language_66,"[0, 1]",117
language_67,"[1, 1]",117
language_68,"[1, 1]",117
language_69,"[1, 1]",117
language_70,"[0, 0]",117
language_71,"[0, 0]",117
language_72,"[1, 1]",117
language_73,"[0, 1]",117
language_74,"[0, 0]",117
language_75,"[0, 0]",117
language_77,"[0, 0]",117
language_78,"[1, 1]",117
language_79,"[0, 0]",117
language_82,"[1, 1]",117
language_86,"[0, 1]",117
language_88,"[0, 1]",117
language_89,"[0, 0]",117
language_90,"[0, 0]",117
language_91,"[0, 1]",117
language_92,"[0, 0]",117
language_93,"[0, 1]",117
language_94,"[0, 1]",117
language_96,"[0, 0]",117
language_98,"[0, 1]",117
language_100,"[0, 1]",117
language_103,"[0, 0]",117
language_104,"[0, 1]",117
language_106,"[1, 1]",117
language_108,"[0, 1]",117
language_110,"[0, 1]",117
language_112,"[0, 0]",117
language_113,"[0, 1]",117
language_114,"[0, 0]",117
language_117,"[0, 0]",117
language_118,"[0, 1]",117
language_120,"[0, 1]",117
language_121,"[0, 1]",117
language_122,"[0, 1]",117
language_124,"[1, 1]",117
language_127,"[1, 1]",117
language_128,"[0, 1]",117
language_135,"[1, 1]",117
language_138,"[0, 1]",117
language_139,"[0, 1]",117
language_140,"[0, 1]",117
language_142,"[1, 1]",117
language_143,"[0, 1]",117
language_144,"[0, 0]",117
language_145,"[0, 0]",117
language_146,"[1, 1]",117
language_148,"[1, 1]",117
language_149,"[0, 0]",117
language_150,"[1, 1]",117
language_151,"[0, 1]",117
language_152,"[1, 0]",117
language_154,"[1, 1]",117
language_156,"[0, 0]",117
language_160,"[0, 0]",117
language_163,"[1, 1]",117
language_168,"[0, 1]",117
language_169,"[0, 0]",117
language_170,"[0, 1]",117
language_171,"[0, 1]",117
language_172,"[0, 0]",117
language_180,"[1, 1]",117
language_183,"[0, 0]",117
language_188,"[0, 1]",117
language_189,"[0, 0]",117
language_191,"[1, 1]",117
language_192,"[1, 0]",117
language_193,"[1, 1]",117
language_194,"[0, 1]",117
language_195,"[0, 0]",117
language_196,"[0, 0]",117
language_198,"[0, 0]",117
language_200,"[0, 1]",117
language_201,"[0, 0]",117
language_202,"[1, 0]",117
language_205,"[0, 0]",117
language_207,"[0, 1]",117
language_209,"[0, 1]",117
