LANGUAGE,LINEAGE,SET
language_10,"[0, 1]",751
language_11,"[0, 1]",751
language_12,"[0, 1]",751
language_15,"[0, 1]",751
language_16,"[0, 1]",751
language_20,"[0, 1]",751
language_23,"[0, 1]",751
language_24,"[1, 0]",751
language_25,"[1, 1]",751
language_27,"[0, 1]",751
language_30,"[0, 1]",751
language_32,"[0, 1]",751
language_33,"[0, 1]",751
language_34,"[1, 1]",751
language_35,"[0, 1]",751
language_36,"[1, 1]",751
language_38,"[1, 1]",751
language_40,"[0, 1]",751
language_41,"[0, 1]",751
language_43,"[1, 1]",751
language_44,"[0, 1]",751
language_49,"[1, 1]",751
language_51,"[1, 1]",751
language_52,"[0, 1]",751
language_53,"[0, 1]",751
language_56,"[1, 1]",751
language_59,"[0, 0]",751
language_60,"[0, 1]",751
language_61,"[0, 1]",751
language_62,"[0, 0]",751
language_64,"[0, 1]",751
language_65,"[0, 1]",751
language_67,"[0, 1]",751
language_69,"[0, 1]",751
language_72,"[1, 0]",751
language_74,"[1, 1]",751
language_77,"[0, 1]",751
language_79,"[0, 0]",751
language_80,"[0, 1]",751
language_81,"[0, 1]",751
language_84,"[1, 0]",751
language_87,"[0, 0]",751
language_88,"[0, 1]",751
language_89,"[1, 1]",751
language_90,"[1, 0]",751
language_91,"[1, 0]",751
language_93,"[0, 1]",751
language_94,"[0, 0]",751
language_95,"[0, 1]",751
language_97,"[0, 1]",751
language_98,"[0, 1]",751
language_102,"[0, 1]",751
language_103,"[1, 1]",751
language_104,"[0, 0]",751
language_106,"[1, 1]",751
language_107,"[1, 1]",751
language_108,"[0, 1]",751
language_109,"[1, 1]",751
language_112,"[0, 1]",751
language_113,"[0, 1]",751
language_114,"[1, 0]",751
language_115,"[0, 1]",751
language_117,"[0, 0]",751
language_118,"[0, 1]",751
language_119,"[0, 0]",751
language_123,"[0, 0]",751
language_125,"[1, 0]",751
language_126,"[0, 1]",751
language_127,"[0, 1]",751
language_129,"[1, 1]",751
language_130,"[0, 0]",751
language_133,"[0, 1]",751
language_134,"[1, 1]",751
language_135,"[1, 0]",751
language_137,"[0, 1]",751
language_138,"[1, 1]",751
language_139,"[0, 1]",751
language_140,"[1, 1]",751
language_143,"[1, 1]",751
language_144,"[0, 1]",751
language_145,"[0, 0]",751
language_147,"[0, 0]",751
language_148,"[0, 0]",751
language_149,"[0, 1]",751
language_151,"[0, 1]",751
language_152,"[1, 1]",751
language_153,"[0, 1]",751
language_154,"[0, 1]",751
