LANGUAGE,LINEAGE,SET
language_2,"[0, 0]",92
language_5,"[0, 1]",92
language_7,"[0, 1]",92
language_8,"[0, 1]",92
language_9,"[0, 0]",92
language_12,"[1, 1]",92
language_13,"[0, 1]",92
language_14,"[1, 1]",92
language_18,"[0, 1]",92
language_19,"[0, 1]",92
language_21,"[0, 1]",92
language_22,"[0, 0]",92
language_23,"[1, 1]",92
language_24,"[1, 0]",92
language_26,"[0, 1]",92
language_27,"[1, 1]",92
language_29,"[0, 1]",92
language_30,"[1, 1]",92
language_31,"[0, 0]",92
language_34,"[0, 1]",92
language_35,"[1, 1]",92
language_36,"[0, 1]",92
language_38,"[0, 0]",92
language_39,"[0, 1]",92
language_40,"[0, 1]",92
language_42,"[0, 1]",92
language_43,"[0, 1]",92
language_45,"[1, 1]",92
language_49,"[0, 1]",92
language_50,"[0, 0]",92
language_51,"[0, 1]",92
language_53,"[1, 1]",92
language_54,"[0, 1]",92
language_55,"[0, 0]",92
language_57,"[0, 1]",92
language_58,"[0, 1]",92
language_59,"[0, 1]",92
language_60,"[0, 1]",92
language_61,"[0, 1]",92
language_63,"[0, 0]",92
language_64,"[0, 0]",92
language_65,"[1, 1]",92
language_66,"[0, 1]",92
language_68,"[0, 1]",92
language_69,"[0, 1]",92
language_72,"[0, 0]",92
language_73,"[0, 1]",92
language_75,"[0, 0]",92
language_76,"[0, 1]",92
language_77,"[1, 1]",92
language_79,"[0, 1]",92
language_80,"[0, 1]",92
language_81,"[0, 1]",92
language_82,"[0, 1]",92
language_84,"[1, 1]",92
language_85,"[0, 1]",92
language_86,"[0, 1]",92
language_87,"[0, 1]",92
language_88,"[0, 1]",92
language_89,"[1, 1]",92
language_90,"[0, 1]",92
language_92,"[0, 0]",92
language_93,"[0, 1]",92
language_94,"[1, 0]",92
language_95,"[1, 1]",92
language_97,"[1, 1]",92
language_98,"[0, 1]",92
language_99,"[1, 1]",92
language_100,"[0, 1]",92
language_101,"[1, 1]",92
language_103,"[1, 1]",92
language_104,"[1, 1]",92
language_106,"[0, 1]",92
language_107,"[0, 1]",92
language_108,"[0, 1]",92
language_111,"[0, 1]",92
language_112,"[0, 1]",92
language_114,"[0, 0]",92
language_115,"[0, 1]",92
language_116,"[1, 1]",92
language_117,"[0, 1]",92
language_118,"[1, 1]",92
language_119,"[0, 1]",92
language_122,"[0, 1]",92
language_123,"[0, 1]",92
language_128,"[0, 0]",92
language_129,"[1, 1]",92
language_131,"[0, 0]",92
language_133,"[0, 1]",92
language_137,"[0, 1]",92
language_138,"[1, 1]",92
language_139,"[0, 0]",92
language_140,"[0, 1]",92
language_141,"[1, 1]",92
language_143,"[0, 1]",92
language_144,"[0, 1]",92
language_145,"[0, 1]",92
language_147,"[0, 1]",92
language_148,"[0, 0]",92
language_150,"[0, 0]",92
language_151,"[0, 0]",92
language_152,"[0, 1]",92
language_153,"[0, 1]",92
language_156,"[0, 0]",92
language_157,"[0, 0]",92
language_158,"[1, 1]",92
language_159,"[1, 1]",92
language_160,"[1, 0]",92
language_161,"[0, 0]",92
language_163,"[0, 1]",92
language_164,"[0, 1]",92
language_165,"[0, 1]",92
language_167,"[0, 1]",92
language_169,"[1, 1]",92
language_170,"[0, 1]",92
language_171,"[0, 1]",92
language_175,"[1, 1]",92
language_176,"[1, 1]",92
language_177,"[0, 1]",92
language_178,"[0, 0]",92
language_179,"[1, 1]",92
language_181,"[0, 1]",92
language_182,"[0, 1]",92
language_183,"[0, 1]",92
language_188,"[0, 1]",92
language_191,"[0, 1]",92
language_192,"[1, 1]",92
language_193,"[1, 1]",92
language_194,"[1, 1]",92
language_195,"[0, 1]",92
language_196,"[1, 1]",92
language_197,"[0, 1]",92
language_198,"[1, 1]",92
language_199,"[0, 1]",92
language_200,"[0, 0]",92
language_201,"[1, 1]",92
language_202,"[0, 1]",92
language_203,"[0, 1]",92
language_205,"[0, 1]",92
language_206,"[0, 1]",92
language_207,"[1, 0]",92
language_209,"[1, 1]",92
language_212,"[1, 1]",92
language_214,"[1, 1]",92
language_216,"[0, 0]",92
language_221,"[0, 1]",92
language_222,"[1, 1]",92
language_223,"[1, 1]",92
language_224,"[0, 1]",92
language_225,"[0, 0]",92
language_226,"[0, 0]",92
language_228,"[1, 1]",92
language_229,"[0, 1]",92
language_230,"[1, 0]",92
language_234,"[0, 1]",92
language_235,"[0, 1]",92
language_236,"[0, 1]",92
language_238,"[1, 0]",92
language_240,"[1, 1]",92
language_241,"[0, 1]",92
language_243,"[0, 0]",92
language_245,"[0, 1]",92
language_246,"[0, 0]",92
language_247,"[0, 1]",92
language_248,"[0, 1]",92
language_249,"[1, 0]",92
language_250,"[1, 0]",92
language_253,"[0, 1]",92
language_256,"[1, 1]",92
language_257,"[0, 0]",92
language_262,"[1, 0]",92
language_263,"[1, 1]",92
language_269,"[1, 1]",92
language_270,"[0, 1]",92
language_272,"[1, 0]",92
language_273,"[1, 1]",92
language_274,"[0, 0]",92
language_275,"[0, 1]",92
language_276,"[0, 0]",92
language_277,"[1, 1]",92
language_278,"[0, 1]",92
language_280,"[1, 1]",92
language_282,"[0, 1]",92
language_283,"[0, 1]",92
language_284,"[0, 1]",92
language_291,"[0, 0]",92
language_292,"[0, 1]",92
language_293,"[0, 1]",92
language_294,"[0, 1]",92
language_298,"[0, 1]",92
language_299,"[0, 0]",92
language_300,"[0, 1]",92
language_301,"[0, 0]",92
language_302,"[1, 1]",92
language_303,"[0, 1]",92
language_305,"[0, 1]",92
language_306,"[0, 1]",92
language_307,"[0, 1]",92
language_308,"[0, 1]",92
language_309,"[0, 1]",92
language_310,"[0, 1]",92
language_313,"[0, 1]",92
language_314,"[1, 1]",92
language_315,"[0, 1]",92
language_316,"[1, 1]",92
language_317,"[1, 1]",92
language_318,"[1, 1]",92
language_319,"[0, 1]",92
language_320,"[0, 1]",92
language_321,"[1, 1]",92
language_322,"[0, 1]",92
language_323,"[1, 1]",92
language_324,"[1, 1]",92
language_326,"[0, 0]",92
language_328,"[1, 1]",92
language_330,"[0, 1]",92
language_331,"[0, 0]",92
language_332,"[0, 1]",92
language_335,"[0, 1]",92
language_336,"[0, 0]",92
language_337,"[0, 1]",92
language_338,"[0, 1]",92
language_339,"[1, 1]",92
language_340,"[0, 1]",92
language_342,"[0, 1]",92
language_343,"[0, 1]",92
language_344,"[0, 0]",92
language_345,"[1, 1]",92
language_346,"[1, 1]",92
language_347,"[1, 1]",92
language_348,"[0, 1]",92
language_349,"[1, 1]",92
language_352,"[0, 1]",92
language_355,"[0, 0]",92
language_356,"[0, 1]",92
language_358,"[0, 0]",92
language_359,"[0, 0]",92
language_360,"[0, 1]",92
language_361,"[0, 1]",92
language_362,"[1, 0]",92
language_364,"[0, 1]",92
language_366,"[0, 1]",92
language_368,"[0, 0]",92
language_369,"[0, 1]",92
language_371,"[0, 1]",92
language_374,"[1, 1]",92
language_376,"[1, 1]",92
language_377,"[1, 1]",92
language_378,"[0, 0]",92
language_379,"[1, 1]",92
language_380,"[0, 1]",92
language_383,"[0, 0]",92
language_385,"[0, 1]",92
language_386,"[1, 1]",92
language_387,"[1, 1]",92
language_388,"[0, 1]",92
language_389,"[1, 1]",92
language_390,"[0, 1]",92
language_391,"[0, 1]",92
language_392,"[0, 1]",92
language_394,"[0, 0]",92
language_396,"[0, 1]",92
language_397,"[1, 1]",92
language_400,"[1, 0]",92
language_401,"[1, 1]",92
language_406,"[0, 0]",92
language_407,"[0, 1]",92
language_408,"[0, 1]",92
language_409,"[0, 1]",92
language_411,"[0, 1]",92
language_412,"[0, 1]",92
language_414,"[1, 1]",92
language_415,"[0, 1]",92
language_416,"[0, 1]",92
language_417,"[1, 1]",92
language_418,"[0, 1]",92
language_419,"[0, 1]",92
language_420,"[0, 1]",92
language_421,"[0, 0]",92
language_423,"[0, 1]",92
language_424,"[0, 1]",92
language_425,"[0, 1]",92
language_426,"[0, 1]",92
language_427,"[0, 1]",92
language_428,"[0, 0]",92
language_429,"[0, 1]",92
language_430,"[0, 0]",92
language_431,"[1, 1]",92
language_433,"[0, 1]",92
language_435,"[0, 0]",92
language_436,"[0, 1]",92
language_437,"[0, 1]",92
language_438,"[1, 1]",92
language_439,"[1, 1]",92
language_440,"[0, 0]",92
language_441,"[1, 1]",92
language_442,"[0, 1]",92
language_446,"[1, 0]",92
language_447,"[1, 1]",92
language_449,"[0, 1]",92
language_450,"[0, 1]",92
language_451,"[0, 0]",92
language_452,"[0, 1]",92
language_454,"[1, 0]",92
language_455,"[0, 1]",92
language_461,"[0, 1]",92
language_462,"[0, 1]",92
language_463,"[0, 1]",92
language_464,"[0, 1]",92
language_465,"[0, 1]",92
language_466,"[0, 1]",92
language_469,"[0, 1]",92
language_470,"[0, 1]",92
language_471,"[0, 1]",92
language_472,"[1, 1]",92
language_474,"[0, 1]",92
language_475,"[0, 1]",92
language_476,"[0, 1]",92
language_478,"[0, 1]",92
language_479,"[0, 1]",92
language_480,"[0, 1]",92
language_481,"[0, 0]",92
language_483,"[0, 0]",92
language_485,"[0, 1]",92
language_487,"[0, 1]",92
language_488,"[0, 1]",92
language_489,"[0, 0]",92
language_490,"[0, 0]",92
language_491,"[0, 1]",92
language_492,"[0, 1]",92
language_494,"[0, 1]",92
language_495,"[1, 1]",92
language_496,"[0, 0]",92
language_497,"[1, 0]",92
language_499,"[0, 0]",92
language_504,"[0, 1]",92
language_505,"[0, 0]",92
language_506,"[1, 1]",92
language_508,"[0, 1]",92
language_509,"[0, 1]",92
language_510,"[0, 1]",92
language_512,"[0, 1]",92
language_513,"[1, 1]",92
language_514,"[0, 1]",92
language_517,"[0, 1]",92
language_518,"[1, 1]",92
language_519,"[0, 0]",92
language_520,"[0, 0]",92
language_521,"[1, 1]",92
language_522,"[1, 1]",92
language_523,"[1, 0]",92
language_525,"[0, 1]",92
language_526,"[1, 1]",92
language_527,"[0, 1]",92
language_528,"[0, 1]",92
language_531,"[1, 0]",92
language_533,"[0, 1]",92
language_534,"[0, 1]",92
language_538,"[0, 1]",92
language_541,"[1, 1]",92
language_543,"[0, 1]",92
language_546,"[0, 1]",92
language_547,"[0, 0]",92
language_548,"[0, 1]",92
language_550,"[1, 0]",92
language_551,"[0, 0]",92
language_552,"[0, 1]",92
language_553,"[0, 0]",92
language_555,"[1, 1]",92
language_556,"[1, 1]",92
language_557,"[1, 1]",92
language_558,"[0, 1]",92
language_559,"[0, 1]",92
language_560,"[0, 1]",92
language_561,"[1, 1]",92
language_562,"[0, 1]",92
language_563,"[0, 1]",92
language_566,"[0, 1]",92
language_568,"[0, 1]",92
language_569,"[0, 1]",92
language_570,"[0, 0]",92
language_571,"[1, 1]",92
language_572,"[0, 1]",92
language_573,"[0, 1]",92
language_574,"[0, 1]",92
language_575,"[0, 1]",92
language_576,"[0, 1]",92
language_577,"[0, 0]",92
language_578,"[0, 1]",92
language_579,"[0, 1]",92
language_580,"[1, 1]",92
language_581,"[0, 1]",92
language_582,"[0, 1]",92
language_583,"[0, 1]",92
language_585,"[0, 1]",92
language_587,"[0, 1]",92
language_590,"[0, 1]",92
language_591,"[0, 1]",92
language_592,"[0, 1]",92
language_593,"[0, 1]",92
language_594,"[0, 0]",92
language_599,"[0, 0]",92
language_601,"[0, 1]",92
language_604,"[0, 1]",92
language_605,"[0, 1]",92
language_608,"[1, 0]",92
language_612,"[0, 1]",92
language_616,"[0, 1]",92
language_618,"[1, 1]",92
language_619,"[0, 1]",92
language_622,"[0, 1]",92
language_623,"[1, 1]",92
language_625,"[0, 0]",92
language_626,"[0, 1]",92
language_627,"[0, 1]",92
language_628,"[0, 1]",92
language_630,"[0, 1]",92
language_631,"[1, 1]",92
language_632,"[0, 1]",92
language_634,"[0, 1]",92
language_635,"[1, 1]",92
language_636,"[0, 1]",92
language_637,"[0, 1]",92
language_639,"[0, 1]",92
language_642,"[0, 1]",92
language_643,"[0, 0]",92
language_644,"[0, 1]",92
language_645,"[1, 1]",92
language_646,"[0, 1]",92
language_647,"[1, 0]",92
language_648,"[0, 1]",92
language_650,"[1, 1]",92
language_651,"[0, 1]",92
language_652,"[0, 1]",92
language_653,"[0, 1]",92
language_654,"[0, 0]",92
language_655,"[0, 1]",92
language_656,"[0, 1]",92
language_657,"[0, 1]",92
language_659,"[0, 1]",92
language_660,"[0, 1]",92
language_661,"[1, 1]",92
language_663,"[1, 1]",92
language_665,"[1, 1]",92
language_667,"[0, 0]",92
language_668,"[0, 0]",92
language_669,"[1, 1]",92
language_670,"[0, 1]",92
language_671,"[0, 1]",92
language_673,"[0, 1]",92
language_675,"[1, 1]",92
language_678,"[0, 0]",92
language_680,"[1, 0]",92
language_681,"[0, 1]",92
language_682,"[0, 1]",92
language_683,"[1, 0]",92
language_684,"[1, 1]",92
language_685,"[1, 1]",92
language_686,"[1, 0]",92
language_687,"[0, 1]",92
language_688,"[0, 1]",92
language_689,"[0, 1]",92
language_690,"[0, 1]",92
language_691,"[1, 1]",92
language_692,"[0, 1]",92
language_695,"[0, 0]",92
language_696,"[0, 0]",92
language_697,"[0, 0]",92
language_700,"[1, 1]",92
language_704,"[0, 1]",92
language_705,"[0, 1]",92
language_706,"[0, 1]",92
language_707,"[1, 1]",92
language_708,"[1, 0]",92
language_709,"[1, 1]",92
language_712,"[0, 0]",92
language_713,"[1, 1]",92
language_717,"[1, 0]",92
language_719,"[0, 1]",92
language_720,"[0, 1]",92
language_721,"[0, 1]",92
language_722,"[0, 1]",92
language_724,"[0, 1]",92
language_725,"[0, 1]",92
language_726,"[0, 1]",92
language_728,"[0, 1]",92
language_729,"[0, 0]",92
language_732,"[1, 1]",92
language_733,"[0, 1]",92
language_734,"[1, 0]",92
language_736,"[0, 1]",92
language_737,"[1, 0]",92
language_738,"[0, 1]",92
language_741,"[0, 1]",92
language_742,"[0, 0]",92
language_745,"[0, 1]",92
language_746,"[1, 0]",92
language_747,"[0, 0]",92
language_748,"[0, 1]",92
language_749,"[0, 0]",92
language_750,"[1, 1]",92
language_751,"[0, 1]",92
language_753,"[0, 1]",92
language_754,"[0, 1]",92
language_755,"[0, 0]",92
language_756,"[0, 1]",92
language_757,"[0, 0]",92
language_759,"[0, 1]",92
language_760,"[1, 1]",92
language_761,"[0, 1]",92
language_762,"[0, 1]",92
language_763,"[0, 1]",92
language_765,"[0, 1]",92
language_766,"[0, 1]",92
language_768,"[1, 1]",92
language_769,"[0, 0]",92
language_771,"[0, 1]",92
language_772,"[1, 1]",92
language_773,"[1, 1]",92
language_775,"[1, 0]",92
language_777,"[1, 1]",92
language_780,"[0, 1]",92
language_781,"[1, 1]",92
language_782,"[0, 1]",92
language_785,"[0, 1]",92
language_786,"[1, 1]",92
language_788,"[0, 1]",92
language_789,"[0, 1]",92
language_790,"[1, 0]",92
language_795,"[0, 1]",92
language_796,"[0, 1]",92
language_798,"[0, 1]",92
language_801,"[1, 1]",92
language_802,"[1, 1]",92
language_803,"[0, 1]",92
language_805,"[1, 1]",92
language_806,"[1, 1]",92
language_807,"[0, 1]",92
language_808,"[0, 1]",92
language_809,"[1, 1]",92
language_810,"[1, 1]",92
language_811,"[0, 0]",92
language_812,"[0, 0]",92
language_815,"[0, 0]",92
language_816,"[1, 1]",92
language_818,"[0, 1]",92
language_822,"[0, 1]",92
language_824,"[1, 1]",92
language_826,"[1, 1]",92
language_827,"[0, 1]",92
language_829,"[0, 1]",92
language_830,"[0, 1]",92
language_832,"[0, 1]",92
language_835,"[0, 1]",92
language_842,"[0, 1]",92
language_844,"[0, 0]",92
language_845,"[1, 0]",92
language_847,"[0, 1]",92
language_849,"[0, 1]",92
language_850,"[0, 1]",92
language_851,"[0, 1]",92
language_852,"[0, 0]",92
language_855,"[0, 0]",92
language_857,"[0, 1]",92
language_858,"[0, 1]",92
language_859,"[1, 0]",92
language_860,"[0, 1]",92
language_861,"[0, 1]",92
language_862,"[0, 1]",92
language_863,"[0, 1]",92
language_864,"[0, 0]",92
language_865,"[0, 0]",92
language_866,"[1, 1]",92
language_867,"[0, 1]",92
language_868,"[1, 1]",92
language_870,"[0, 1]",92
language_871,"[1, 1]",92
language_872,"[0, 1]",92
language_875,"[0, 0]",92
language_876,"[0, 1]",92
language_877,"[0, 1]",92
language_878,"[0, 1]",92
language_880,"[1, 0]",92
language_882,"[0, 1]",92
language_883,"[0, 0]",92
language_885,"[1, 0]",92
language_887,"[0, 1]",92
language_889,"[0, 1]",92
language_890,"[0, 1]",92
language_892,"[0, 1]",92
language_894,"[1, 1]",92
language_895,"[0, 0]",92
language_896,"[0, 1]",92
language_897,"[0, 0]",92
language_901,"[0, 1]",92
language_903,"[0, 1]",92
language_904,"[0, 1]",92
language_905,"[0, 1]",92
language_908,"[0, 1]",92
language_909,"[0, 0]",92
language_910,"[0, 1]",92
language_911,"[1, 1]",92
language_912,"[1, 1]",92
language_914,"[0, 1]",92
language_915,"[1, 1]",92
