LANGUAGE,LINEAGE,SET
language_368,"[0, 1]",436
language_369,"[0, 1]",436
language_370,"[0, 0]",436
language_373,"[1, 1]",436
language_374,"[0, 0]",436
language_376,"[0, 1]",436
language_377,"[1, 1]",436
language_382,"[1, 0]",436
language_384,"[1, 1]",436
language_387,"[1, 1]",436
language_388,"[1, 1]",436
language_389,"[1, 1]",436
language_390,"[1, 1]",436
language_394,"[0, 1]",436
language_395,"[0, 1]",436
language_398,"[1, 1]",436
language_399,"[0, 1]",436
language_400,"[0, 1]",436
language_401,"[0, 1]",436
language_402,"[1, 1]",436
language_404,"[0, 1]",436
language_407,"[1, 1]",436
language_408,"[0, 1]",436
language_409,"[0, 1]",436
language_410,"[1, 1]",436
language_414,"[1, 0]",436
language_416,"[0, 1]",436
language_417,"[0, 1]",436
language_418,"[1, 1]",436
language_420,"[0, 0]",436
language_421,"[1, 1]",436
language_422,"[1, 0]",436
language_423,"[1, 1]",436
language_429,"[0, 1]",436
language_431,"[1, 0]",436
language_432,"[0, 1]",436
language_436,"[0, 0]",436
language_437,"[0, 1]",436
language_438,"[1, 0]",436
language_439,"[0, 0]",436
language_440,"[1, 1]",436
language_441,"[0, 0]",436
language_443,"[0, 0]",436
language_444,"[1, 1]",436
language_445,"[0, 1]",436
language_446,"[0, 1]",436
language_447,"[1, 1]",436
language_448,"[0, 1]",436
language_449,"[0, 1]",436
language_451,"[0, 1]",436
language_455,"[0, 1]",436
language_456,"[0, 1]",436
language_457,"[0, 1]",436
language_458,"[0, 1]",436
language_460,"[0, 1]",436
language_462,"[0, 1]",436
language_463,"[0, 1]",436
language_465,"[0, 0]",436
language_466,"[0, 1]",436
language_468,"[0, 1]",436
language_470,"[0, 1]",436
language_472,"[0, 1]",436
language_473,"[1, 1]",436
language_476,"[0, 1]",436
language_477,"[1, 0]",436
language_478,"[0, 1]",436
language_479,"[0, 1]",436
language_480,"[0, 1]",436
language_481,"[0, 1]",436
language_482,"[0, 1]",436
language_486,"[0, 1]",436
language_487,"[0, 1]",436
language_488,"[1, 0]",436
language_489,"[0, 1]",436
language_490,"[0, 1]",436
language_491,"[0, 1]",436
language_493,"[1, 1]",436
language_496,"[0, 1]",436
language_501,"[0, 1]",436
language_503,"[1, 1]",436
language_506,"[0, 1]",436
language_507,"[1, 0]",436
language_508,"[0, 0]",436
language_510,"[1, 1]",436
language_512,"[0, 1]",436
language_513,"[0, 1]",436
language_514,"[0, 1]",436
language_515,"[0, 1]",436
language_516,"[1, 1]",436
language_517,"[0, 1]",436
language_519,"[0, 1]",436
language_520,"[1, 0]",436
language_521,"[1, 1]",436
language_522,"[0, 1]",436
language_524,"[1, 1]",436
language_525,"[0, 0]",436
language_526,"[1, 0]",436
language_527,"[1, 1]",436
language_528,"[1, 1]",436
language_529,"[0, 1]",436
language_530,"[0, 1]",436
language_532,"[0, 1]",436
language_534,"[0, 1]",436
language_537,"[0, 1]",436
language_538,"[0, 1]",436
language_539,"[0, 1]",436
language_540,"[0, 1]",436
language_542,"[0, 1]",436
language_543,"[0, 1]",436
language_545,"[0, 1]",436
language_546,"[1, 1]",436
language_547,"[0, 1]",436
language_548,"[0, 1]",436
language_549,"[1, 1]",436
language_550,"[1, 1]",436
language_551,"[1, 1]",436
language_553,"[1, 1]",436
language_554,"[0, 1]",436
language_557,"[0, 1]",436
language_559,"[1, 1]",436
language_561,"[0, 1]",436
language_562,"[0, 1]",436
language_563,"[0, 1]",436
language_564,"[1, 1]",436
language_565,"[0, 1]",436
language_566,"[0, 1]",436
language_567,"[0, 1]",436
language_568,"[0, 1]",436
language_569,"[1, 1]",436
language_570,"[1, 1]",436
language_571,"[1, 0]",436
language_572,"[0, 1]",436
language_573,"[0, 1]",436
language_574,"[0, 1]",436
language_575,"[1, 1]",436
language_576,"[0, 1]",436
language_577,"[1, 0]",436
language_579,"[0, 1]",436
language_585,"[0, 1]",436
language_586,"[0, 1]",436
language_587,"[0, 0]",436
language_588,"[0, 1]",436
language_589,"[1, 1]",436
language_591,"[0, 0]",436
language_594,"[1, 1]",436
language_596,"[1, 1]",436
language_597,"[0, 1]",436
language_598,"[1, 1]",436
language_600,"[0, 1]",436
language_601,"[0, 1]",436
language_602,"[0, 0]",436
language_603,"[1, 1]",436
language_606,"[0, 0]",436
language_608,"[0, 0]",436
language_609,"[1, 1]",436
language_610,"[0, 1]",436
language_611,"[0, 1]",436
language_613,"[0, 1]",436
language_614,"[1, 1]",436
language_615,"[0, 1]",436
language_618,"[0, 0]",436
language_621,"[0, 1]",436
language_622,"[0, 1]",436
language_623,"[0, 0]",436
language_624,"[0, 1]",436
language_626,"[1, 0]",436
language_627,"[0, 1]",436
language_628,"[0, 0]",436
language_630,"[1, 1]",436
language_632,"[0, 0]",436
language_634,"[1, 1]",436
language_637,"[1, 1]",436
language_638,"[0, 1]",436
language_639,"[1, 1]",436
language_640,"[0, 1]",436
language_642,"[1, 1]",436
language_643,"[1, 1]",436
language_646,"[0, 1]",436
language_647,"[1, 1]",436
language_649,"[0, 1]",436
language_650,"[1, 1]",436
language_651,"[0, 1]",436
language_653,"[1, 1]",436
language_654,"[0, 0]",436
language_655,"[0, 0]",436
language_658,"[1, 0]",436
language_659,"[0, 1]",436
language_660,"[0, 1]",436
language_661,"[0, 0]",436
language_663,"[1, 1]",436
language_664,"[0, 1]",436
language_665,"[1, 1]",436
language_666,"[0, 1]",436
language_668,"[0, 1]",436
language_669,"[0, 1]",436
language_670,"[1, 1]",436
language_672,"[0, 1]",436
language_675,"[0, 1]",436
language_678,"[1, 1]",436
language_680,"[0, 1]",436
language_682,"[1, 1]",436
language_683,"[0, 1]",436
language_688,"[0, 0]",436
language_690,"[1, 1]",436
language_691,"[0, 0]",436
language_692,"[1, 1]",436
language_693,"[0, 1]",436
language_694,"[1, 1]",436
language_695,"[0, 0]",436
language_696,"[1, 1]",436
language_698,"[0, 1]",436
language_699,"[0, 1]",436
language_700,"[0, 1]",436
language_701,"[1, 1]",436
language_702,"[0, 1]",436
language_704,"[1, 1]",436
language_705,"[0, 1]",436
language_706,"[0, 1]",436
language_707,"[0, 1]",436
language_708,"[0, 1]",436
language_710,"[0, 0]",436
language_714,"[0, 1]",436
language_716,"[0, 1]",436
language_717,"[0, 1]",436
language_718,"[0, 0]",436
language_720,"[1, 1]",436
language_721,"[0, 1]",436
language_722,"[0, 1]",436
language_723,"[0, 1]",436
language_724,"[0, 1]",436
language_726,"[1, 1]",436
language_727,"[0, 1]",436
language_729,"[1, 1]",436
language_730,"[0, 0]",436
language_731,"[0, 1]",436
language_732,"[0, 1]",436
language_733,"[0, 1]",436
language_734,"[0, 1]",436
language_735,"[0, 1]",436
language_737,"[0, 0]",436
language_742,"[0, 1]",436
language_743,"[0, 1]",436
language_745,"[0, 1]",436
language_747,"[0, 1]",436
language_749,"[0, 1]",436
language_750,"[0, 1]",436
language_752,"[1, 0]",436
language_754,"[1, 1]",436
language_755,"[0, 1]",436
language_756,"[0, 1]",436
language_757,"[1, 1]",436
language_758,"[0, 1]",436
language_759,"[1, 1]",436
language_762,"[0, 1]",436
language_763,"[0, 1]",436
language_764,"[0, 1]",436
language_766,"[0, 1]",436
language_767,"[0, 1]",436
language_768,"[0, 0]",436
language_769,"[0, 1]",436
language_770,"[1, 1]",436
language_771,"[0, 1]",436
language_773,"[1, 1]",436
language_774,"[1, 0]",436
language_776,"[1, 1]",436
language_778,"[0, 0]",436
language_779,"[0, 0]",436
language_780,"[0, 1]",436
language_781,"[0, 1]",436
language_783,"[1, 1]",436
language_787,"[0, 1]",436
language_788,"[0, 1]",436
language_790,"[0, 0]",436
language_792,"[0, 1]",436
language_793,"[0, 1]",436
language_794,"[1, 1]",436
language_795,"[0, 1]",436
language_797,"[0, 0]",436
language_798,"[1, 1]",436
language_799,"[0, 1]",436
language_802,"[1, 0]",436
language_804,"[0, 0]",436
language_805,"[0, 1]",436
language_806,"[0, 1]",436
language_807,"[1, 1]",436
language_808,"[0, 1]",436
language_810,"[1, 0]",436
language_811,"[0, 1]",436
language_813,"[1, 1]",436
language_815,"[0, 0]",436
language_816,"[0, 1]",436
language_817,"[0, 1]",436
language_818,"[0, 1]",436
language_820,"[0, 1]",436
language_823,"[0, 1]",436
language_825,"[0, 1]",436
language_826,"[0, 0]",436
language_827,"[0, 1]",436
language_829,"[1, 0]",436
language_830,"[0, 1]",436
language_836,"[1, 1]",436
language_838,"[1, 1]",436
language_843,"[1, 1]",436
language_844,"[0, 1]",436
language_846,"[0, 0]",436
language_847,"[1, 1]",436
language_849,"[0, 1]",436
language_853,"[0, 1]",436
language_855,"[0, 1]",436
language_856,"[1, 1]",436
language_857,"[0, 0]",436
language_858,"[0, 1]",436
language_859,"[1, 1]",436
language_862,"[0, 0]",436
language_864,"[0, 0]",436
language_865,"[0, 1]",436
language_867,"[0, 1]",436
language_869,"[1, 0]",436
language_871,"[0, 1]",436
language_872,"[0, 1]",436
language_873,"[0, 1]",436
language_874,"[1, 1]",436
language_877,"[0, 0]",436
language_879,"[0, 1]",436
language_882,"[0, 1]",436
language_883,"[1, 1]",436
language_884,"[1, 1]",436
language_885,"[0, 1]",436
language_887,"[0, 1]",436
language_888,"[0, 0]",436
language_889,"[0, 1]",436
language_892,"[0, 1]",436
language_893,"[0, 1]",436
language_894,"[0, 1]",436
language_895,"[0, 1]",436
language_897,"[0, 0]",436
language_898,"[0, 1]",436
language_899,"[0, 1]",436
language_900,"[0, 1]",436
language_901,"[0, 1]",436
language_903,"[0, 1]",436
language_909,"[0, 1]",436
language_910,"[0, 1]",436
language_911,"[1, 1]",436
language_914,"[0, 1]",436
language_916,"[1, 0]",436
language_919,"[0, 1]",436
language_921,"[0, 1]",436
language_923,"[1, 0]",436
language_926,"[0, 1]",436
language_927,"[0, 1]",436
language_928,"[0, 1]",436
language_933,"[0, 1]",436
language_937,"[0, 1]",436
language_939,"[0, 1]",436
language_941,"[1, 1]",436
language_942,"[1, 0]",436
language_944,"[0, 1]",436
language_945,"[1, 1]",436
language_950,"[0, 1]",436
language_951,"[1, 1]",436
language_952,"[0, 1]",436
language_953,"[0, 1]",436
language_955,"[1, 1]",436
language_957,"[1, 1]",436
language_958,"[0, 1]",436
language_960,"[0, 1]",436
language_961,"[0, 1]",436
language_962,"[1, 1]",436
language_963,"[0, 0]",436
language_964,"[0, 1]",436
language_965,"[0, 1]",436
language_967,"[1, 1]",436
language_968,"[0, 1]",436
language_971,"[0, 1]",436
language_972,"[1, 1]",436
language_974,"[0, 1]",436
language_975,"[0, 0]",436
language_978,"[1, 1]",436
language_979,"[0, 1]",436
language_981,"[0, 1]",436
language_985,"[0, 1]",436
language_987,"[0, 1]",436
language_988,"[0, 1]",436
language_993,"[0, 1]",436
language_994,"[1, 1]",436
language_996,"[0, 1]",436
language_998,"[0, 1]",436
