LANGUAGE,LINEAGE,SET
language_2,"[0, 1]",321
language_4,"[0, 1]",321
language_5,"[1, 1]",321
language_7,"[0, 0]",321
language_11,"[1, 1]",321
language_12,"[1, 1]",321
language_13,"[1, 1]",321
language_14,"[0, 1]",321
language_15,"[0, 1]",321
language_16,"[0, 1]",321
language_18,"[0, 1]",321
language_20,"[0, 1]",321
language_21,"[0, 0]",321
language_25,"[0, 1]",321
language_26,"[0, 1]",321
language_27,"[0, 0]",321
language_28,"[0, 1]",321
language_29,"[0, 1]",321
language_30,"[0, 1]",321
language_31,"[0, 0]",321
language_32,"[0, 0]",321
language_33,"[0, 1]",321
language_34,"[0, 1]",321
language_38,"[0, 0]",321
language_39,"[1, 1]",321
language_41,"[1, 1]",321
language_43,"[1, 1]",321
language_45,"[0, 0]",321
language_46,"[0, 1]",321
language_48,"[0, 1]",321
language_51,"[1, 1]",321
language_52,"[0, 1]",321
language_53,"[0, 1]",321
language_54,"[0, 1]",321
language_56,"[0, 0]",321
language_57,"[1, 0]",321
language_58,"[0, 1]",321
language_59,"[1, 0]",321
language_60,"[0, 1]",321
language_62,"[1, 1]",321
language_63,"[0, 1]",321
language_65,"[0, 1]",321
language_66,"[0, 0]",321
language_67,"[1, 1]",321
language_69,"[0, 0]",321
language_70,"[1, 1]",321
language_71,"[0, 1]",321
language_72,"[0, 1]",321
language_73,"[0, 0]",321
language_78,"[0, 1]",321
language_80,"[0, 1]",321
language_81,"[0, 1]",321
language_82,"[0, 1]",321
language_83,"[1, 0]",321
language_84,"[1, 1]",321
language_85,"[0, 1]",321
language_86,"[1, 1]",321
language_87,"[0, 1]",321
language_88,"[0, 1]",321
language_90,"[0, 1]",321
language_91,"[0, 1]",321
language_92,"[1, 0]",321
language_93,"[0, 1]",321
language_97,"[0, 0]",321
language_98,"[0, 1]",321
language_99,"[0, 1]",321
language_100,"[1, 1]",321
language_101,"[0, 1]",321
language_102,"[1, 1]",321
language_103,"[1, 1]",321
language_104,"[0, 0]",321
language_105,"[1, 1]",321
language_106,"[1, 1]",321
language_108,"[0, 1]",321
language_110,"[0, 1]",321
language_111,"[0, 0]",321
language_112,"[1, 1]",321
language_113,"[1, 1]",321
language_114,"[1, 0]",321
language_116,"[0, 1]",321
language_118,"[0, 1]",321
language_121,"[0, 1]",321
language_122,"[1, 1]",321
language_123,"[0, 1]",321
language_124,"[1, 1]",321
language_130,"[0, 1]",321
language_132,"[0, 1]",321
language_133,"[1, 1]",321
language_134,"[0, 1]",321
language_135,"[1, 1]",321
language_136,"[0, 1]",321
language_140,"[0, 0]",321
language_142,"[0, 1]",321
language_143,"[0, 1]",321
language_144,"[1, 1]",321
language_146,"[0, 1]",321
language_147,"[0, 0]",321
language_149,"[0, 1]",321
language_150,"[0, 0]",321
language_152,"[0, 1]",321
language_154,"[0, 1]",321
language_157,"[0, 1]",321
language_161,"[0, 1]",321
language_162,"[0, 1]",321
language_163,"[0, 1]",321
language_164,"[1, 0]",321
language_166,"[1, 0]",321
language_167,"[0, 1]",321
language_168,"[0, 0]",321
language_169,"[0, 1]",321
language_170,"[0, 0]",321
language_171,"[0, 1]",321
language_173,"[0, 1]",321
language_174,"[1, 0]",321
language_177,"[0, 1]",321
language_178,"[0, 1]",321
language_179,"[1, 1]",321
language_180,"[1, 1]",321
language_183,"[1, 1]",321
language_184,"[0, 1]",321
language_185,"[1, 1]",321
language_187,"[0, 0]",321
language_188,"[0, 0]",321
language_189,"[0, 1]",321
language_190,"[0, 1]",321
language_191,"[0, 1]",321
language_193,"[0, 0]",321
language_195,"[0, 0]",321
language_197,"[0, 0]",321
language_198,"[1, 1]",321
language_199,"[0, 1]",321
language_202,"[0, 1]",321
language_203,"[1, 1]",321
language_204,"[0, 1]",321
language_207,"[0, 1]",321
language_208,"[0, 1]",321
language_209,"[0, 1]",321
language_210,"[1, 0]",321
language_211,"[0, 1]",321
language_212,"[0, 1]",321
language_214,"[0, 1]",321
language_217,"[0, 0]",321
language_221,"[0, 1]",321
language_222,"[0, 1]",321
language_223,"[0, 0]",321
language_227,"[1, 0]",321
language_229,"[0, 0]",321
language_232,"[0, 0]",321
language_238,"[0, 1]",321
language_240,"[1, 1]",321
language_241,"[0, 1]",321
language_242,"[0, 0]",321
language_244,"[0, 1]",321
language_245,"[0, 0]",321
language_246,"[0, 1]",321
language_247,"[0, 1]",321
language_248,"[1, 1]",321
language_252,"[0, 0]",321
language_253,"[0, 1]",321
language_254,"[0, 1]",321
language_255,"[0, 1]",321
language_257,"[0, 1]",321
language_260,"[0, 1]",321
language_263,"[0, 0]",321
language_265,"[0, 1]",321
language_266,"[0, 0]",321
language_267,"[0, 1]",321
language_268,"[1, 0]",321
language_269,"[0, 1]",321
language_272,"[0, 1]",321
language_274,"[0, 1]",321
language_275,"[1, 1]",321
language_277,"[0, 1]",321
language_278,"[0, 1]",321
language_280,"[0, 1]",321
language_281,"[1, 1]",321
language_284,"[0, 1]",321
language_285,"[0, 1]",321
language_286,"[0, 1]",321
language_290,"[1, 1]",321
language_291,"[1, 1]",321
language_292,"[0, 1]",321
language_293,"[0, 1]",321
language_294,"[0, 1]",321
language_295,"[0, 1]",321
language_296,"[0, 0]",321
language_297,"[0, 0]",321
language_298,"[0, 1]",321
language_301,"[0, 0]",321
language_302,"[0, 1]",321
language_305,"[0, 1]",321
language_307,"[0, 1]",321
language_308,"[0, 0]",321
language_310,"[1, 1]",321
language_312,"[0, 1]",321
language_314,"[1, 1]",321
language_315,"[0, 1]",321
language_316,"[0, 1]",321
language_317,"[1, 1]",321
language_320,"[0, 1]",321
language_327,"[0, 0]",321
language_328,"[0, 1]",321
language_329,"[0, 0]",321
language_330,"[0, 1]",321
language_333,"[0, 1]",321
language_334,"[1, 1]",321
language_335,"[0, 1]",321
language_338,"[1, 0]",321
language_340,"[0, 1]",321
language_343,"[1, 1]",321
language_345,"[1, 1]",321
language_346,"[0, 1]",321
language_347,"[0, 1]",321
language_349,"[1, 1]",321
language_350,"[0, 0]",321
language_351,"[0, 1]",321
language_352,"[0, 0]",321
language_353,"[0, 1]",321
language_354,"[0, 0]",321
language_356,"[0, 1]",321
language_357,"[1, 1]",321
language_358,"[1, 0]",321
language_361,"[0, 1]",321
language_362,"[0, 1]",321
language_363,"[0, 1]",321
language_367,"[0, 1]",321
language_368,"[0, 1]",321
language_369,"[0, 1]",321
language_374,"[0, 1]",321
language_378,"[0, 1]",321
language_379,"[0, 1]",321
language_380,"[1, 1]",321
language_381,"[1, 1]",321
language_382,"[0, 1]",321
language_383,"[1, 1]",321
language_384,"[1, 0]",321
language_385,"[1, 0]",321
language_386,"[0, 1]",321
language_387,"[0, 1]",321
language_389,"[1, 1]",321
language_390,"[0, 1]",321
language_391,"[0, 1]",321
language_393,"[0, 1]",321
language_394,"[0, 1]",321
language_395,"[0, 1]",321
language_398,"[0, 1]",321
language_399,"[1, 1]",321
language_401,"[0, 1]",321
language_404,"[1, 1]",321
language_405,"[0, 1]",321
language_406,"[0, 1]",321
language_407,"[1, 1]",321
language_408,"[1, 0]",321
language_411,"[1, 1]",321
language_412,"[0, 1]",321
language_413,"[0, 1]",321
language_414,"[0, 1]",321
language_415,"[0, 1]",321
language_416,"[0, 1]",321
language_417,"[0, 1]",321
language_420,"[0, 1]",321
language_421,"[0, 1]",321
language_424,"[0, 1]",321
language_425,"[1, 1]",321
language_428,"[0, 1]",321
