LANGUAGE,LINEAGE,SET
language_1,"[0, 1]",82
language_4,"[0, 0]",82
language_5,"[1, 1]",82
language_6,"[0, 1]",82
language_7,"[0, 0]",82
language_8,"[0, 1]",82
language_9,"[0, 1]",82
language_10,"[0, 1]",82
language_12,"[0, 1]",82
language_16,"[0, 1]",82
language_18,"[0, 1]",82
language_19,"[0, 1]",82
language_21,"[0, 1]",82
language_22,"[1, 1]",82
language_24,"[0, 1]",82
language_25,"[0, 0]",82
language_29,"[1, 1]",82
language_30,"[1, 1]",82
language_32,"[0, 1]",82
language_33,"[0, 1]",82
language_34,"[0, 0]",82
language_35,"[0, 0]",82
language_36,"[0, 1]",82
language_37,"[0, 0]",82
language_38,"[0, 1]",82
language_39,"[0, 1]",82
language_41,"[0, 1]",82
language_46,"[0, 1]",82
language_47,"[0, 0]",82
language_48,"[0, 0]",82
language_49,"[1, 1]",82
language_50,"[1, 1]",82
language_53,"[1, 1]",82
language_54,"[1, 1]",82
language_55,"[0, 1]",82
language_56,"[0, 0]",82
language_57,"[0, 1]",82
language_58,"[0, 1]",82
language_59,"[1, 1]",82
language_60,"[1, 1]",82
language_63,"[0, 1]",82
language_64,"[1, 1]",82
language_65,"[0, 1]",82
language_66,"[0, 1]",82
language_68,"[0, 1]",82
language_69,"[0, 0]",82
language_71,"[1, 1]",82
language_72,"[0, 0]",82
language_74,"[0, 1]",82
language_76,"[1, 1]",82
language_77,"[0, 0]",82
language_78,"[0, 1]",82
language_80,"[0, 1]",82
language_81,"[0, 1]",82
language_83,"[1, 0]",82
language_84,"[0, 0]",82
language_86,"[0, 1]",82
language_88,"[1, 1]",82
language_89,"[0, 1]",82
language_90,"[1, 0]",82
language_91,"[0, 1]",82
language_95,"[0, 1]",82
language_96,"[0, 1]",82
language_98,"[0, 1]",82
language_99,"[1, 0]",82
language_101,"[1, 1]",82
language_102,"[1, 1]",82
language_105,"[1, 1]",82
language_106,"[0, 1]",82
language_108,"[1, 0]",82
language_109,"[0, 1]",82
language_110,"[1, 1]",82
language_111,"[1, 1]",82
language_112,"[1, 1]",82
language_115,"[0, 0]",82
language_116,"[1, 1]",82
language_117,"[1, 0]",82
language_118,"[0, 1]",82
language_120,"[1, 1]",82
