LANGUAGE,LINEAGE,SET
language_1,"[0, 1]",203
language_2,"[1, 1]",203
language_3,"[0, 1]",203
language_5,"[0, 1]",203
language_6,"[1, 1]",203
language_7,"[0, 1]",203
language_8,"[1, 0]",203
language_9,"[0, 1]",203
language_10,"[0, 1]",203
language_11,"[1, 0]",203
language_12,"[0, 1]",203
language_13,"[0, 0]",203
language_15,"[0, 1]",203
language_18,"[0, 1]",203
language_19,"[0, 1]",203
language_20,"[0, 0]",203
language_21,"[0, 1]",203
language_22,"[0, 1]",203
language_23,"[0, 1]",203
language_24,"[0, 1]",203
language_25,"[0, 1]",203
language_26,"[0, 0]",203
language_28,"[0, 1]",203
language_31,"[1, 0]",203
language_34,"[0, 1]",203
language_35,"[0, 1]",203
language_36,"[0, 0]",203
language_37,"[0, 1]",203
language_39,"[0, 0]",203
language_41,"[0, 1]",203
language_42,"[0, 1]",203
language_46,"[0, 1]",203
language_47,"[0, 1]",203
language_48,"[1, 1]",203
language_49,"[0, 1]",203
language_50,"[0, 1]",203
language_51,"[0, 1]",203
language_52,"[1, 1]",203
language_57,"[0, 1]",203
language_60,"[1, 1]",203
language_61,"[1, 1]",203
language_62,"[0, 1]",203
language_65,"[1, 1]",203
language_66,"[0, 1]",203
language_67,"[0, 1]",203
language_70,"[0, 1]",203
language_71,"[0, 1]",203
language_73,"[0, 1]",203
language_74,"[0, 1]",203
language_75,"[0, 1]",203
language_76,"[1, 0]",203
language_77,"[0, 1]",203
language_78,"[0, 1]",203
language_80,"[0, 0]",203
language_81,"[1, 1]",203
language_83,"[1, 1]",203
language_84,"[1, 0]",203
language_85,"[1, 1]",203
language_86,"[0, 1]",203
language_88,"[0, 1]",203
language_89,"[0, 1]",203
language_90,"[0, 0]",203
language_91,"[1, 0]",203
language_99,"[0, 1]",203
language_100,"[0, 1]",203
language_101,"[1, 1]",203
language_102,"[1, 1]",203
language_103,"[0, 1]",203
language_104,"[1, 1]",203
language_107,"[1, 1]",203
language_109,"[1, 1]",203
language_112,"[0, 1]",203
language_114,"[1, 1]",203
language_115,"[1, 1]",203
language_116,"[0, 0]",203
language_118,"[0, 0]",203
language_119,"[0, 1]",203
language_121,"[0, 1]",203
language_124,"[0, 0]",203
language_127,"[0, 1]",203
language_128,"[1, 0]",203
language_129,"[0, 1]",203
language_132,"[0, 1]",203
language_133,"[0, 0]",203
language_136,"[1, 0]",203
language_138,"[0, 1]",203
language_142,"[1, 1]",203
language_143,"[0, 1]",203
language_144,"[0, 0]",203
language_146,"[0, 1]",203
language_149,"[0, 1]",203
language_150,"[0, 0]",203
language_153,"[0, 1]",203
language_155,"[0, 1]",203
language_157,"[0, 1]",203
language_158,"[1, 1]",203
language_161,"[0, 1]",203
language_162,"[0, 1]",203
language_164,"[0, 0]",203
language_168,"[0, 0]",203
language_172,"[1, 1]",203
language_178,"[0, 0]",203
language_180,"[0, 1]",203
language_182,"[0, 1]",203
language_183,"[1, 1]",203
language_184,"[0, 1]",203
language_186,"[0, 1]",203
language_188,"[1, 1]",203
language_189,"[0, 0]",203
language_190,"[0, 1]",203
language_191,"[0, 1]",203
language_192,"[1, 1]",203
language_193,"[0, 0]",203
language_194,"[0, 1]",203
language_195,"[0, 1]",203
language_198,"[1, 1]",203
language_199,"[1, 1]",203
language_200,"[1, 0]",203
language_201,"[0, 1]",203
language_202,"[0, 1]",203
language_203,"[0, 1]",203
language_205,"[1, 0]",203
language_206,"[0, 1]",203
language_207,"[0, 1]",203
language_208,"[0, 1]",203
language_212,"[1, 1]",203
language_214,"[0, 1]",203
language_216,"[1, 1]",203
language_217,"[0, 0]",203
language_219,"[0, 1]",203
language_220,"[1, 0]",203
language_221,"[1, 1]",203
language_226,"[0, 1]",203
language_229,"[0, 1]",203
language_230,"[0, 0]",203
language_233,"[0, 1]",203
language_235,"[0, 1]",203
language_236,"[0, 1]",203
language_238,"[0, 0]",203
language_239,"[0, 0]",203
language_240,"[1, 1]",203
language_241,"[0, 1]",203
language_243,"[1, 1]",203
language_245,"[0, 1]",203
language_248,"[0, 1]",203
language_249,"[0, 1]",203
language_250,"[0, 1]",203
language_252,"[0, 1]",203
language_253,"[1, 1]",203
language_254,"[0, 0]",203
language_255,"[1, 0]",203
language_256,"[0, 1]",203
language_257,"[1, 0]",203
language_258,"[0, 1]",203
language_259,"[1, 1]",203
language_260,"[0, 1]",203
language_262,"[1, 0]",203
language_263,"[0, 0]",203
language_264,"[1, 1]",203
language_265,"[0, 1]",203
language_266,"[0, 1]",203
language_267,"[0, 1]",203
language_268,"[0, 1]",203
language_269,"[0, 1]",203
language_270,"[0, 1]",203
language_271,"[0, 1]",203
language_273,"[1, 1]",203
language_274,"[0, 1]",203
language_275,"[0, 0]",203
language_276,"[0, 1]",203
language_277,"[0, 1]",203
language_281,"[0, 1]",203
language_282,"[1, 0]",203
language_284,"[0, 0]",203
language_286,"[1, 1]",203
language_287,"[0, 1]",203
language_288,"[1, 1]",203
language_290,"[0, 1]",203
language_291,"[0, 1]",203
language_294,"[0, 1]",203
language_295,"[1, 1]",203
language_300,"[0, 1]",203
language_301,"[0, 0]",203
language_302,"[1, 1]",203
language_303,"[0, 1]",203
language_304,"[0, 0]",203
language_305,"[0, 1]",203
language_306,"[0, 1]",203
language_308,"[0, 0]",203
language_309,"[0, 1]",203
language_311,"[1, 1]",203
language_313,"[0, 0]",203
language_314,"[0, 1]",203
language_315,"[0, 1]",203
language_318,"[0, 1]",203
language_319,"[1, 1]",203
language_321,"[1, 1]",203
language_322,"[0, 0]",203
language_324,"[1, 1]",203
language_325,"[0, 1]",203
language_326,"[0, 1]",203
language_327,"[0, 0]",203
language_328,"[0, 1]",203
language_332,"[0, 1]",203
language_334,"[0, 1]",203
language_335,"[0, 1]",203
language_336,"[1, 1]",203
language_337,"[0, 1]",203
language_339,"[0, 1]",203
language_340,"[0, 1]",203
language_341,"[0, 1]",203
language_342,"[1, 1]",203
language_343,"[0, 1]",203
language_345,"[0, 1]",203
language_346,"[0, 1]",203
language_349,"[0, 1]",203
language_351,"[0, 0]",203
language_353,"[0, 1]",203
language_354,"[1, 0]",203
language_355,"[0, 1]",203
language_356,"[0, 1]",203
language_358,"[0, 1]",203
language_359,"[0, 1]",203
language_360,"[1, 1]",203
language_361,"[0, 1]",203
language_364,"[0, 1]",203
language_365,"[0, 1]",203
language_367,"[1, 1]",203
language_368,"[0, 1]",203
language_372,"[0, 1]",203
language_376,"[0, 0]",203
language_379,"[1, 1]",203
language_380,"[0, 1]",203
language_382,"[0, 1]",203
language_383,"[0, 1]",203
language_386,"[0, 0]",203
language_387,"[1, 1]",203
language_388,"[0, 1]",203
language_390,"[0, 1]",203
language_391,"[0, 1]",203
language_392,"[1, 0]",203
language_394,"[1, 0]",203
language_396,"[0, 1]",203
language_398,"[0, 1]",203
language_399,"[0, 1]",203
language_401,"[0, 1]",203
language_403,"[1, 1]",203
language_404,"[0, 1]",203
language_406,"[0, 1]",203
language_408,"[1, 0]",203
language_409,"[0, 1]",203
language_411,"[0, 1]",203
language_412,"[1, 1]",203
language_414,"[1, 0]",203
language_420,"[0, 1]",203
language_421,"[1, 1]",203
language_422,"[0, 1]",203
language_424,"[0, 1]",203
language_425,"[1, 1]",203
language_426,"[0, 1]",203
language_427,"[0, 1]",203
language_428,"[0, 1]",203
language_429,"[1, 1]",203
language_430,"[1, 1]",203
language_431,"[1, 1]",203
language_432,"[1, 1]",203
language_433,"[0, 1]",203
language_434,"[0, 1]",203
language_435,"[0, 1]",203
language_436,"[1, 1]",203
language_437,"[0, 1]",203
language_439,"[1, 1]",203
language_442,"[1, 1]",203
language_444,"[0, 1]",203
language_446,"[1, 1]",203
language_447,"[1, 1]",203
language_448,"[1, 1]",203
language_449,"[1, 1]",203
language_450,"[0, 1]",203
language_455,"[0, 1]",203
language_456,"[0, 1]",203
language_457,"[0, 0]",203
language_458,"[0, 1]",203
