LANGUAGE,LINEAGE,SET
language_2,"[1, 1]",666
language_3,"[1, 1]",666
language_5,"[0, 1]",666
language_7,"[1, 1]",666
language_9,"[1, 0]",666
language_10,"[1, 1]",666
language_11,"[0, 1]",666
language_13,"[0, 1]",666
language_14,"[0, 1]",666
language_15,"[1, 1]",666
language_16,"[1, 1]",666
language_17,"[1, 0]",666
language_21,"[0, 1]",666
language_23,"[0, 0]",666
language_24,"[0, 1]",666
language_25,"[0, 1]",666
language_26,"[0, 1]",666
language_27,"[0, 0]",666
language_29,"[1, 1]",666
language_30,"[0, 1]",666
language_31,"[0, 1]",666
language_33,"[0, 1]",666
language_34,"[0, 1]",666
language_36,"[0, 1]",666
language_37,"[0, 1]",666
language_39,"[0, 1]",666
language_40,"[0, 0]",666
language_41,"[0, 1]",666
language_42,"[0, 1]",666
language_43,"[1, 1]",666
language_45,"[1, 1]",666
language_46,"[0, 1]",666
language_49,"[0, 1]",666
language_50,"[0, 1]",666
language_51,"[0, 1]",666
language_53,"[0, 1]",666
language_57,"[0, 1]",666
language_58,"[0, 1]",666
language_60,"[0, 0]",666
language_61,"[0, 1]",666
language_62,"[1, 1]",666
language_63,"[0, 0]",666
language_64,"[0, 1]",666
language_66,"[0, 1]",666
language_71,"[0, 1]",666
language_73,"[0, 1]",666
language_74,"[0, 1]",666
language_75,"[1, 1]",666
language_77,"[0, 1]",666
language_78,"[0, 1]",666
language_80,"[0, 1]",666
language_84,"[1, 1]",666
language_85,"[0, 1]",666
language_87,"[0, 1]",666
language_88,"[0, 1]",666
language_89,"[1, 0]",666
language_91,"[1, 1]",666
language_92,"[0, 1]",666
language_94,"[0, 1]",666
language_95,"[0, 1]",666
language_97,"[0, 1]",666
language_103,"[0, 1]",666
language_104,"[0, 1]",666
language_105,"[0, 1]",666
language_106,"[1, 0]",666
language_107,"[0, 1]",666
language_108,"[1, 1]",666
language_109,"[0, 0]",666
language_110,"[0, 1]",666
language_111,"[0, 1]",666
language_112,"[0, 0]",666
language_113,"[0, 1]",666
language_115,"[0, 1]",666
language_116,"[0, 1]",666
language_117,"[0, 1]",666
language_119,"[0, 0]",666
language_120,"[1, 0]",666
language_122,"[0, 1]",666
language_124,"[0, 1]",666
language_127,"[1, 1]",666
language_128,"[1, 1]",666
language_129,"[1, 0]",666
language_131,"[0, 1]",666
language_135,"[0, 1]",666
language_136,"[0, 0]",666
language_139,"[1, 1]",666
language_141,"[1, 1]",666
language_144,"[0, 1]",666
language_145,"[0, 1]",666
language_146,"[0, 1]",666
language_147,"[0, 1]",666
language_148,"[1, 1]",666
language_149,"[0, 1]",666
language_150,"[0, 1]",666
language_151,"[0, 1]",666
language_153,"[0, 0]",666
language_154,"[0, 1]",666
language_155,"[0, 1]",666
language_158,"[1, 1]",666
language_161,"[0, 1]",666
language_162,"[0, 1]",666
language_163,"[1, 1]",666
language_164,"[0, 0]",666
language_166,"[0, 0]",666
language_168,"[0, 1]",666
language_170,"[0, 1]",666
language_171,"[1, 1]",666
language_172,"[1, 1]",666
language_173,"[0, 0]",666
language_175,"[1, 1]",666
language_176,"[0, 1]",666
language_177,"[0, 0]",666
language_178,"[0, 1]",666
language_179,"[0, 1]",666
language_180,"[0, 1]",666
language_181,"[0, 0]",666
language_182,"[1, 0]",666
language_183,"[0, 1]",666
language_185,"[0, 1]",666
language_187,"[1, 1]",666
language_190,"[0, 1]",666
language_195,"[0, 1]",666
language_196,"[0, 1]",666
language_197,"[0, 1]",666
language_200,"[0, 1]",666
language_202,"[0, 1]",666
language_203,"[0, 0]",666
language_204,"[1, 1]",666
language_206,"[0, 0]",666
language_207,"[1, 1]",666
language_209,"[0, 0]",666
language_210,"[1, 0]",666
language_211,"[0, 1]",666
language_212,"[0, 1]",666
language_213,"[0, 1]",666
language_214,"[1, 1]",666
language_215,"[0, 1]",666
language_216,"[0, 1]",666
language_217,"[0, 0]",666
language_219,"[1, 0]",666
language_220,"[0, 0]",666
language_221,"[1, 0]",666
language_222,"[0, 0]",666
language_223,"[1, 0]",666
language_224,"[1, 1]",666
language_229,"[0, 1]",666
language_230,"[1, 1]",666
language_231,"[0, 1]",666
language_233,"[1, 1]",666
language_234,"[1, 1]",666
language_236,"[1, 1]",666
language_238,"[1, 1]",666
language_239,"[1, 1]",666
language_240,"[1, 1]",666
language_241,"[0, 1]",666
language_244,"[0, 1]",666
language_248,"[1, 0]",666
language_249,"[0, 0]",666
language_253,"[0, 1]",666
language_254,"[0, 1]",666
language_256,"[0, 1]",666
language_257,"[1, 0]",666
language_258,"[0, 1]",666
language_259,"[0, 1]",666
language_260,"[0, 1]",666
language_262,"[0, 0]",666
language_263,"[0, 1]",666
language_265,"[0, 0]",666
language_267,"[0, 1]",666
language_268,"[1, 1]",666
language_269,"[0, 1]",666
language_270,"[1, 1]",666
language_274,"[0, 1]",666
language_276,"[0, 1]",666
language_278,"[0, 1]",666
language_279,"[0, 1]",666
language_280,"[0, 1]",666
language_281,"[0, 1]",666
language_282,"[0, 0]",666
language_283,"[1, 1]",666
language_284,"[0, 1]",666
language_285,"[0, 0]",666
language_286,"[1, 0]",666
language_287,"[0, 1]",666
language_288,"[0, 0]",666
language_289,"[0, 0]",666
language_290,"[0, 0]",666
language_291,"[0, 0]",666
language_292,"[0, 1]",666
language_293,"[0, 1]",666
language_294,"[1, 0]",666
language_295,"[0, 1]",666
language_296,"[0, 1]",666
language_298,"[1, 1]",666
language_299,"[0, 1]",666
language_300,"[0, 1]",666
language_301,"[0, 1]",666
language_304,"[1, 1]",666
language_307,"[0, 1]",666
language_308,"[1, 0]",666
language_309,"[1, 1]",666
language_310,"[0, 1]",666
language_312,"[0, 1]",666
language_315,"[0, 1]",666
language_316,"[1, 1]",666
language_318,"[0, 0]",666
language_323,"[0, 1]",666
language_324,"[0, 1]",666
language_326,"[1, 1]",666
language_327,"[1, 1]",666
language_328,"[0, 0]",666
language_329,"[0, 0]",666
language_330,"[1, 1]",666
language_333,"[0, 1]",666
language_334,"[0, 0]",666
language_336,"[0, 1]",666
language_337,"[0, 1]",666
language_339,"[1, 1]",666
language_341,"[0, 1]",666
language_343,"[0, 0]",666
language_344,"[0, 1]",666
language_345,"[0, 1]",666
language_346,"[0, 1]",666
language_347,"[0, 1]",666
language_348,"[1, 1]",666
language_349,"[0, 1]",666
language_350,"[0, 1]",666
language_351,"[1, 1]",666
language_352,"[0, 1]",666
language_353,"[0, 1]",666
language_354,"[1, 0]",666
language_356,"[0, 1]",666
language_357,"[0, 1]",666
language_358,"[0, 0]",666
language_359,"[0, 0]",666
language_360,"[0, 1]",666
language_361,"[0, 1]",666
language_362,"[1, 1]",666
language_367,"[0, 0]",666
language_368,"[0, 1]",666
language_369,"[0, 1]",666
language_371,"[0, 1]",666
language_378,"[0, 1]",666
language_381,"[1, 1]",666
language_383,"[0, 0]",666
language_384,"[0, 1]",666
language_386,"[0, 0]",666
language_387,"[0, 1]",666
language_389,"[0, 1]",666
language_390,"[1, 1]",666
language_391,"[0, 1]",666
language_392,"[0, 1]",666
language_393,"[0, 1]",666
language_394,"[0, 1]",666
language_395,"[0, 0]",666
language_397,"[1, 1]",666
language_398,"[0, 1]",666
language_400,"[1, 1]",666
language_402,"[0, 1]",666
language_403,"[1, 1]",666
language_404,"[0, 0]",666
language_405,"[0, 0]",666
language_409,"[0, 1]",666
language_412,"[0, 1]",666
language_413,"[0, 1]",666
language_414,"[0, 0]",666
language_415,"[0, 1]",666
language_418,"[1, 0]",666
language_419,"[0, 0]",666
language_420,"[1, 0]",666
language_422,"[0, 1]",666
language_423,"[0, 0]",666
language_424,"[0, 1]",666
language_427,"[1, 1]",666
language_428,"[0, 1]",666
language_429,"[0, 1]",666
